iter	Passed	Remaining
286	295	734
287	297	734
288	298	734
289	299	733
290	300	732
291	301	731
292	303	731
293	304	731
294	305	730
295	306	729
296	307	728
297	308	727
298	309	726
299	311	725
300	312	726
301	314	726
302	315	726
303	317	725
304	318	724
305	319	723
306	320	723
307	321	723
308	323	723
309	324	722
310	326	722
311	327	722
312	329	722
313	330	722
314	332	722
315	333	722
316	334	721
317	335	720
318	338	722
319	339	721
320	340	720
321	342	720
322	343	719
323	344	718
324	345	718
325	347	717
326	348	717
327	349	716
328	351	716
329	352	714
330	353	713
331	354	712
332	355	711
333	356	710
334	357	709
335	358	708
336	359	707
337	360	706
338	361	705
339	362	704
340	364	704
341	365	703
342	366	702
343	367	700
344	368	700
345	369	698
346	370	697
347	371	696
348	373	695
349	374	695
350	375	694
351	376	693
352	377	692
353	378	691
354	380	690
355	381	690
356	383	690
357	384	689
358	385	688
359	386	687
360	387	686
361	388	685
362	390	684
363	391	684
364	392	683
365	393	682
366	394	680
367	395	679
368	397	679
369	398	677
370	399	677
371	400	676
372	401	675
373	402	674
374	403	673
375	404	671
376	405	670
377	406	669
378	407	668
379	409	667
380	410	666
381	411	665
382	412	664
383	413	664
384	415	663
385	416	661
386	418	662
387	419	661
388	420	660
389	421	659
390	422	657
391	422	655
392	423	654
393	425	653
394	426	653
395	427	651
396	428	650
397	429	649
398	430	648
399	431	647
400	432	646
401	433	645
402	434	644
403	436	643
404	437	642
405	438	641
406	439	639
407	440	638
408	441	637
409	442	636
410	443	635
411	444	634
412	445	633
413	446	632
414	448	631
415	449	630
416	450	629
417	451	628
418	452	628
419	454	627
420	455	626
421	456	625
422	457	624
423	458	623
424	459	621
425	460	621
426	462	619
427	463	619
428	464	617
429	465	616
430	466	615
431	467	614
432	468	613
433	468	611
434	470	610
435	471	609
436	472	609
437	473	607
438	474	606
439	475	605
440	477	604
441	478	603
442	479	602
443	480	601
444	481	601
445	483	600
446	484	598
447	485	597
448	486	596
449	487	595
450	488	594
451	489	593
452	490	592
453	491	591
454	492	589
455	493	588
456	494	587
457	495	586
458	496	585
459	497	584
460	499	583
461	501	584
462	503	583
463	504	582
464	505	581
465	506	580
466	507	579
467	508	577
468	509	577
469	510	576
470	512	575
471	515	576
472	516	575
473	517	574
474	518	573
475	519	572
476	520	571
477	521	569
478	522	568
479	524	568
480	525	566
481	526	565
482	527	564
483	528	563
484	529	562
485	530	561
486	532	560
487	533	559
488	534	558
489	535	557
490	536	556
491	537	554
492	538	553
493	539	552
494	540	551
495	542	550
496	543	549
497	544	548
498	545	547
499	546	546
500	547	545
501	548	544
502	549	542
503	550	542
504	552	541
505	553	540
506	554	538
507	555	537
508	556	536
509	557	535
510	558	534
511	559	533
512	560	532
513	561	531
514	563	530
515	563	528
516	564	527
517	566	526
518	567	525
519	568	524
520	569	523
521	570	522
522	571	521
523	571	519
524	573	518
525	574	517
526	575	516
527	576	515
528	577	514
529	578	512
530	579	511
531	580	510
532	581	509
533	582	508
534	583	507
535	585	506
536	586	505
537	587	504
538	588	503
539	589	501
540	590	500
541	591	499
542	592	498
543	593	497
544	594	496
545	595	495
546	596	494
547	597	493
548	598	491
549	599	490
550	600	489
551	601	488
552	602	487
553	604	486
554	605	485
555	606	484
556	607	482
557	608	481
558	609	480
559	610	479
560	611	478
561	612	477
562	613	476
563	614	475
564	615	474
565	616	472
566	617	471
567	618	470
568	619	469
569	620	468
570	622	467
571	623	466
572	624	465
573	625	464
574	626	462
575	627	461
576	628	460
577	629	459
578	630	458
579	631	457
580	632	456
581	633	455
582	634	454
583	635	452
584	636	451
585	637	450
586	639	449
587	640	448
588	641	447
589	642	446
590	643	445
591	644	444
592	645	443
593	646	441
594	647	440
595	648	439
596	649	438
597	650	437
598	651	436
599	653	435
600	654	434
601	655	433
602	656	432
603	657	431
604	658	430
605	659	429
606	660	427
607	662	426
608	663	426
609	664	425
610	669	426
611	671	425
612	672	424
613	674	423
614	675	422
615	676	421
616	677	420
617	678	419
618	679	418
619	681	417
620	682	416
621	683	415
622	684	414
623	685	413
624	687	412
625	688	411
626	689	410
627	691	409
628	693	408
629	694	407
630	695	406
631	696	405
632	697	404
633	698	403
634	699	402
635	700	401
636	702	400
637	703	399
638	704	397
639	705	396
640	706	395
641	707	394
642	708	393
643	709	391
644	710	390
645	711	389
646	711	388
647	712	387
648	713	386
649	714	384
650	715	383
651	716	382
652	717	381
653	718	380
654	719	379
655	720	378
656	721	376
657	722	375
658	723	374
659	724	373
660	725	372
661	726	370
662	727	370
663	728	368
664	729	367
665	730	366
666	731	365
667	732	364
668	733	362
669	734	361
670	735	360
671	736	359
672	737	358
673	739	357
674	739	356
675	740	355
676	741	353
677	742	352
678	743	351
679	744	350
680	745	349
681	746	348
682	747	347
683	748	345
684	749	344
685	750	343
686	751	342
687	753	341
688	755	340
689	756	339
690	757	338
691	757	337
692	758	336
693	759	335
694	760	333
695	761	332
696	762	331
697	765	331
698	767	330
699	768	329
700	769	328
701	770	326
702	771	325
703	772	324
704	774	323
705	775	322
706	776	321
707	777	320
708	778	319
709	779	318
710	779	317
711	781	316
712	782	315
713	783	313
714	784	312
715	785	311
716	786	310
717	787	309
718	788	308
719	789	307
720	790	306
721	791	304
722	792	303
723	793	302
724	794	301
725	795	300
726	796	299
727	797	298
728	798	296
729	799	295
730	800	294
731	801	293
732	802	292
733	803	291
734	804	290
735	805	288
736	806	287
737	807	286
738	808	285
739	809	284
740	810	283
741	811	282
742	812	280
743	813	279
744	814	278
745	814	277
746	815	276
747	817	275
748	818	274
749	818	272
750	819	271
751	820	270
752	821	269
753	822	268
754	823	267
755	824	266
756	826	265
757	827	264
758	828	262
759	829	261
760	830	260
761	831	259
762	832	258
763	833	257
764	834	256
765	835	255
766	836	254
767	837	252
768	838	251
769	839	250
770	841	249
771	847	250
772	848	249
773	851	248
774	856	248
775	858	247
776	863	247
777	864	246
778	866	245
779	867	244
780	868	243
781	870	242
782	872	241
783	874	241
784	881	241
785	882	240
786	883	239
787	885	238
788	886	237
789	887	236
790	890	235
791	891	234
792	892	233
793	893	231
794	895	230
795	896	229
796	897	228
797	898	227
798	901	226
799	902	225
800	903	224
801	904	223
802	905	222
803	907	221
804	908	220
805	910	219
806	913	218
807	914	217
808	915	216
809	917	215
810	920	214
811	921	213
812	922	212
813	924	211
814	925	210
815	926	209
816	927	207
817	929	206
818	930	205
819	931	204
820	933	203
821	934	202
822	941	202
823	944	201
824	948	201
825	952	200
826	953	199
827	954	198
828	956	197
829	957	196
830	958	194
831	960	193
832	961	192
833	962	191
834	963	190
835	965	189
836	967	188
837	970	187
838	971	186
839	972	185
840	974	184
841	975	183
842	977	182
843	979	180
844	980	179
845	982	178
846	983	177
847	984	176
848	985	175
849	986	174
850	988	173
851	989	171
852	990	170
853	991	169
854	992	168
855	993	167
856	994	165
857	995	164
858	996	163
859	997	162
860	998	161
861	999	160
862	1001	158
863	1002	157
864	1003	156
865	1005	155
866	1006	154
867	1008	153
868	1009	152
869	1010	150
870	1011	149
871	1012	148
872	1014	147
873	1015	146
874	1016	145
875	1017	144
876	1018	142
877	1019	141
878	1021	140
879	1022	139
880	1024	138
881	1025	137
882	1026	136
883	1027	134
884	1029	133
885	1030	132
886	1031	131
887	1032	130
888	1033	129
889	1034	127
890	1035	126
891	1036	125
892	1037	124
893	1038	123
894	1039	121
895	1040	120
896	1041	119
897	1043	118
898	1044	117
899	1045	116
900	1046	114
901	1047	113
902	1048	112
903	1050	111
904	1051	110
905	1052	109
906	1053	108
907	1055	106
908	1056	105
909	1057	104
910	1058	103
911	1059	102
912	1060	101
913	1061	99
914	1062	98
915	1063	97
916	1064	96
917	1066	95
918	1067	94
919	1068	92
920	1069	91
921	1070	90
922	1071	89
923	1073	88
924	1074	87
925	1075	85
926	1076	84
927	1077	83
928	1078	82
929	1080	81
930	1081	80
931	1082	78
932	1083	77
933	1084	76
934	1085	75
935	1086	74
936	1087	73
937	1091	72
938	1093	71
939	1096	70
940	1099	68
941	1100	67
942	1104	66
943	1105	65
944	1107	64
945	1108	63
946	1110	62
947	1112	60
948	1113	59
949	1114	58
950	1115	57
951	1118	56
952	1119	55
953	1120	54
954	1121	52
955	1124	51
956	1124	50
957	1126	49
958	1127	48
959	1128	47
960	1130	45
961	1131	44
962	1132	43
963	1133	42
964	1134	41
965	1135	39
966	1136	38
967	1138	37
968	1139	36
969	1140	35
970	1141	34
971	1143	32
972	1144	31
973	1146	30
974	1147	29
975	1148	28
976	1149	27
977	1150	25
978	1153	24
979	1154	23
980	1155	22
981	1156	21
982	1157	20
983	1158	18
984	1160	17
985	1161	16
986	1162	15
987	1163	14
988	1164	12
989	1166	11
990	1168	10
991	1169	9
992	1170	8
993	1171	7
994	1173	5
995	1174	4
996	1175	3
997	1176	2
998	1177	1
999	1178	0
